--- track_id 173 ---
Shop,Camera,Year,Month,Day,track_id,gender,age,baseline,datetime,direction,group
Taiwan,cam002,2024,11,1,173,Male,1.0,entrance_shop,2024-11-01 09:01:11,1.0,0

--- track_id 497 ---
Shop,Camera,Year,Month,Day,track_id,gender,age,baseline,datetime,direction,group
Taiwan,cam002,2024,11,1,497,Male,2.0,entrance_shop,2024-11-01 09:11:28,1.0,1
baseline,datetime,staytime
YARIS_CROSS,2024-11-01 09:59:16,16
YARIS_CROSS,2024-11-01 09:33:45,6
YARIS_CROSS,2024-11-01 09:11:29,7
baseline,datetime,staytime
SIENTA,2024-11-01 09:33:36,5
baseline,datetime,staytime
ALTIS,2024-11-01 09:59:18,13
ALTIS,2024-11-01 09:33:46,5

--- track_id 830 ---
Shop,Camera,Year,Month,Day,track_id,gender,age,baseline,datetime,direction,group
Taiwan,cam002,2024,11,1,830,Male,0.0,entrance_shop,2024-11-01 09:21:24,1.0,2

--- track_id 950 ---
Shop,Camera,Year,Month,Day,track_id,gender,age,baseline,datetime,direction,group
Taiwan,cam002,2024,11,1,950,Male,2.0,entrance_shop,2024-11-01 09:25:36,1.0,3
baseline,datetime,staytime
Negotiation_table_1,2024-11-01 09:26:53,14
baseline,datetime,staytime
YARIS_CROSS,2024-11-01 09:25:37,71
baseline,datetime,staytime
Negotiation_table_4,2024-11-01 09:27:08,1192
baseline,datetime,staytime
VIOS,2024-11-01 09:45:28,78
baseline,datetime,staytime
car_None,2024-11-01 09:45:35,65
baseline,datetime,staytime
COROLLA_SPORT,2024-11-01 09:45:30,73
baseline,datetime,staytime
SIENTA,2024-11-01 09:25:45,56
baseline,datetime,staytime
ALTIS,2024-11-01 09:25:39,72

