frame_idx x1 y1 x2 y2 id conf cls gender age face_x1 face_y1 face_x2 face_y2 face_id
0 754 734 1024 1074 10 0 0 0 0 0 0 0 0 -1
0 1673 93 1754 336 11 0 0 0 0 0 0 0 0 -1
0 862 515 965 650 12 0 0 0 0 0 0 0 0 -1
1 723 741 990 1075 10 0 0 0 0 819 765 889 851 0
1 1674 88 1754 336 11 0 0 0 0 0 0 0 0 -1
1 861 513 965 643 12 0 0 0 0 866 526 909 586 0
2 711 747 969 1074 10 0 0 0 0 791 769 861 866 0
2 1674 84 1754 336 11 0 0 0 0 0 0 0 0 -1
2 836 511 962 642 12 0 0 0 0 0 0 0 0 -1
3 676 762 944 1075 10 0 0 1 2 772 792 841 881 0
3 1675 82 1754 336 11 0 0 1 2 0 0 0 0 -1
3 837 511 962 642 12 0 0 1 2 868 534 910 591 0
4 640 789 923 1076 10 0 0 1 2 745 819 823 916 0
4 1676 91 1754 336 11 0 0 1 2 0 0 0 0 -1
4 861 512 966 641 12 0 0 1 2 0 0 0 0 -1
5 629 824 901 1077 10 0 0 1 2 0 0 0 0 -1
5 1675 95 1755 337 11 0 0 1 2 0 0 0 0 -1
5 825 513 963 642 12 0 0 1 2 885 532 929 588 0
6 622 850 873 1077 10 0 0 1 2 702 880 772 981 0
6 1676 101 1755 337 11 0 0 1 2 0 0 0 0 -1
6 821 512 969 639 12 0 0 1 2 0 0 0 0 -1
7 606 869 853 1077 10 0 0 1 2 671 909 747 1002 0
7 1676 99 1754 337 11 0 0 1 2 0 0 0 0 -1
7 822 513 974 640 12 0 0 1 2 0 0 0 0 -1
8 597 891 829 1077 10 0 0 1 2 0 0 0 0 -1
8 1676 101 1754 338 11 0 0 1 2 0 0 0 0 -1
8 811 512 976 639 12 0 0 1 2 0 0 0 0 -1
9 585 920 794 1077 10 0 0 1 2 0 0 0 0 -1
9 1676 99 1754 338 11 0 0 1 2 0 0 0 0 -1
9 784 512 977 639 12 0 0 1 2 0 0 0 0 -1
10 576 954 717 1078 10 0 0 1 2 0 0 0 0 -1
10 1673 98 1753 337 11 0 0 1 2 0 0 0 0 -1
10 766 514 977 640 12 0 0 1 2 0 0 0 0 -1
11 538 996 661 1078 10 0 0 1 2 0 0 0 0 -1
11 1672 101 1754 337 11 0 0 1 2 0 0 0 0 -1
11 761 513 977 642 12 0 0 1 2 0 0 0 0 -1
11 1664 48 1750 218 18 0 0 0 0 0 0 0 0 -1
12 1674 104 1754 336 11 0 0 1 2 0 0 0 0 -1
12 760 519 975 641 12 0 0 1 2 0 0 0 0 -1
12 1661 48 1752 218 18 0 0 0 0 0 0 0 0 -1
