Shop,Camera,Year,Month,Day,track_id,gender,age,baseline,datetime,staytime
Taiwan,cam006,2024,11,1,497,Male,3.0,ALTIS,2024-11-01 09:59:18,13
Taiwan,cam006,2024,11,1,228,Male,1.0,ALTIS,2024-11-01 09:39:23,81
Taiwan,cam006,2024,11,1,1348,Male,1.0,ALTIS,2024-11-01 09:35:12,13
Taiwan,cam006,2024,11,1,497,Male,3.0,ALTIS,2024-11-01 09:33:46,5
Taiwan,cam006,2024,11,1,950,Male,2.0,ALTIS,2024-11-01 09:25:39,72
Taiwan,cam006,2024,11,1,789,Male,0.0,ALTIS,2024-11-01 09:21:26,36
Taiwan,cam006,2024,11,1,714,Male,1.0,ALTIS,2024-11-01 09:18:21,4
Taiwan,cam006,2024,11,1,228,Male,1.0,ALTIS,2024-11-01 09:15:01,5
Taiwan,cam006,2024,11,1,417,Male,2.0,ALTIS,2024-11-01 09:10:33,69
Taiwan,cam006,2024,11,1,6,Male,2.0,ALTIS,2024-11-01 09:00:09,13
