track_id,gender,age,solution,staytime,datetime,Camera,Shop
6,Male,31-45,ALTIS,13,2024-11-01 09:00:09,cam006,Taiwan
199,Male,16-30,YARIS_CROSS,6,2024-11-01 09:18:20,cam002,Taiwan
228,Male,16-30,ALTIS,81,2024-11-01 09:39:23,cam006,Taiwan
228,Male,16-30,ALTIS,5,2024-11-01 09:15:01,cam006,Taiwan
228,Male,16-30,YARIS_CROSS,85,2024-11-01 09:39:19,cam002,Taiwan
228,Male,16-30,YARIS_CROSS,5,2024-11-01 09:15:07,cam002,Taiwan
297,Female,0-15,SIENTA,6,2024-11-01 09:02:37,cam006,Taiwan
297,Female,0-15,SIENTA,6,2024-11-01 09:02:37,cam006,Taiwan
341,Female,0-15,YARIS_CROSS,4,2024-11-01 09:03:03,cam002,Taiwan
360,Female,16-30,SIENTA,4,2024-11-01 09:03:19,cam006,Taiwan
360,Female,16-30,SIENTA,4,2024-11-01 09:03:19,cam006,Taiwan
417,Male,31-45,ALTIS,69,2024-11-01 09:10:33,cam006,Taiwan
497,Male,46-60,ALTIS,13,2024-11-01 09:59:18,cam006,Taiwan
497,Male,46-60,ALTIS,5,2024-11-01 09:33:46,cam006,Taiwan
497,Male,46-60,SIENTA,5,2024-11-01 09:33:36,cam006,Taiwan
497,Male,46-60,SIENTA,5,2024-11-01 09:33:36,cam006,Taiwan
497,Male,31-45,YARIS_CROSS,16,2024-11-01 09:59:16,cam002,Taiwan
497,Male,31-45,YARIS_CROSS,6,2024-11-01 09:33:45,cam002,Taiwan
497,Male,31-45,YARIS_CROSS,7,2024-11-01 09:11:29,cam002,Taiwan
714,Male,16-30,ALTIS,4,2024-11-01 09:18:21,cam006,Taiwan
714,Male,16-30,SIENTA,5,2024-11-01 09:18:11,cam006,Taiwan
714,Male,16-30,SIENTA,5,2024-11-01 09:18:11,cam006,Taiwan
789,Male,0-15,ALTIS,36,2024-11-01 09:21:26,cam006,Taiwan
789,Male,0-15,YARIS_CROSS,39,2024-11-01 09:21:24,cam002,Taiwan
950,Male,31-45,ALTIS,72,2024-11-01 09:25:39,cam006,Taiwan
950,Male,31-45,COROLLA_SPORT,73,2024-11-01 09:45:30,cam005,Taiwan
950,Male,31-45,SIENTA,56,2024-11-01 09:25:45,cam005,Taiwan
950,Male,31-45,SIENTA,56,2024-11-01 09:25:45,cam005,Taiwan
950,Male,31-45,VIOS,78,2024-11-01 09:45:28,cam004,Taiwan
950,Male,31-45,YARIS_CROSS,71,2024-11-01 09:25:37,cam002,Taiwan
950,Male,31-45,car_None,65,2024-11-01 09:45:35,cam005,Taiwan
1348,Male,16-30,ALTIS,13,2024-11-01 09:35:12,cam006,Taiwan
1348,Male,16-30,YARIS_CROSS,14,2024-11-01 09:35:11,cam002,Taiwan
